,original_triple,Verbalisation,SubjectCQ,PropertyCQ,ObjectCQ,Theme
1171,The nickname of SBB-CFF-FFS C 5/6 is Elefant.,The nickname of a locomotive is a nickname.,What is a nickname?,What is the relation between a locomotive and a nickname?,What is a locomotive's nickname?,MeanOfTransportation
1172,GWR No. 12 has a stroke of 9 inch.,The British locomotive / has a stroke / length in inch,What mean of transportation has a length in inches?,What is the relationship measurement between locomotive and length in inches?,What is the measurement of the length of the British locomotive?,MeanOfTransportation
1173,GWR No. 12 has a stroke of 9 inch.,A locomotive has a stroke.,What has a stroke?,What is the relation between a locomotive and a stroke?,What is the stroke of a locomotive?,MeanOfTransportation
1174,Nord 3.1241 to 3.1248 are replaced by Nord 3.1249 and 3.1250.,A compound of locomotives is replaced by a compound of locomotives,What has been replaced by a compound of locomotives?,What is the substitution relationship between two means of transportation?,What has replaced a compound of locomotives?,MeanOfTransportation
1175,Nord 3.1241 to 3.1248 are replaced by Nord 3.1249 and 3.1250.,A locomotive is replaced by a locomotive.,What is replaced by a locomotive?,What is the relation between locomotives?,What replaces a locomotive?,MeanOfTransportation
1176,Lampre-Farnese Vini 2010 are part of the 2010 Tre Valli Varesine team.,The Valli Varesine 2010 team has Lampre-Farnese vini,Who has Lampre Farnese vini?,What is the possession relationship between two entities?,What does the 2010 team Valli Varesine have?,MeanOfTransportation
1177,Lampre-Farnese Vini 2010 are part of the 2010 Tre Valli Varesine team.,-,What is part of a season?,-,-,MeanOfTransportation
1178,FS 197 is the same as SStB – Chiapovano to Javornik.,Italian Lcomotives are the same as Austrian locomotives,What locomotives are the same as Austrial lcoomotives?,What is the identical similarity relationship between two entities?,What locomotives are the same as Italian locomotives?,MeanOfTransportation
1179,FS 197 is the same as SStB – Chiapovano to Javornik.,A locomotive is said to be the same to a locomotive.,What is said to be the same to a locomotive?,What is the relation between locomotives?,What is said to be the same to a locomotive?,MeanOfTransportation
1180,The Great Northern Railway N-1 has a bore of 42 inches.,The Railway / has a bore / inches long,What mean of transportation has a bore long inches?,What is the relationship between a railway and its bore long inches?,What is the measurement of the bore of the railway?,MeanOfTransportation
1181,The Great Northern Railway N-1 has a bore of 42 inches.,A locomotive has a bore.,What has a bore?,What is the relation between a locomotive and a bore?,What is the bore of a locomotive?,MeanOfTransportation
1182,"2020 Vuelta a España, stage 13, has 151 participants.",The Vuelta a Espana / has participants / 151,What has 151 participants?,What is the possession relationship between two entities?,How many participants does the Vuelta a Espana have?,MeanOfTransportation
1183,"2020 Vuelta a España, stage 13, has 151 participants.",A stage has a number of participants.,What has a number of participants?,What is the relation between a stage and a number of participants?,How many participants does a stage have?,MeanOfTransportation
1184,The SJ T21 was started in 1955.,The locomotive / was started in / year 1955,What mean of transportation was started ?,When is the temporal beginning relationship between an entity and a time?,When was the locomotive started?,MeanOfTransportation
1185,The SJ T21 was started in 1955.,A locomotive is started in a time.,What is started in a time?,What is the relation between a locomotive and a time?,When is a locomotive started?,MeanOfTransportation
1186,DSB EG ended in 1999.,Danish electric locomotives ended in 1999,What ended in 1999?,What is the finishing relationship between an entity and a time event?,When Danish electric locomotives ended?,MeanOfTransportation
1187,DSB EG ended in 1999.,A locomotive ended in a time.,What ended in a time?,What is the relation between a locomotive and a time?,When did a locomotive end?,MeanOfTransportation
1188,The Queensland Railways B11 Baldwin class was established in 1880.,Australian locomotives / were established / in 1880,What was established in 1880?,What is the establishment relationship between entities and a year?,When were Australian locomotives established?,MeanOfTransportation
