,original_triple,SubjectCQ_x,PropertyCQ_x,ObjectCQ_x,Theme_x,Verbalisation,SubjectCQ_y,PropertyCQ_y,ObjectCQ_y,Theme_y
458,TYC 1095-1291-1 has a radial velocity of -6.69 kilometre per second.,What vehicle has a radial velocity of -6.69 kilometre per second?,What is the speed of the TYC 1095-1291-1?,What is the radial velocity of the TYC 1095-1291-1?,CelestialBody,A star has a radial velocity of x.,What star has a radial velocity of x?,What is the relation between a star and x?,What radial velocity does a star have?,Celestial
459,TYC 1095-1291-1 has a radial velocity of -6.69 kilometre per second.,What vehicle has a radial velocity of -6.69 kilometre per second?,What is the speed of the TYC 1095-1291-1?,What is the radial velocity of the TYC 1095-1291-1?,CelestialBody,A star has a radial velocity of kilometre per second.,What has a radial velocity of kilometre per second?,What is the relation between a star and kilometre per second?,What is the radial velocity of a star?,Celestial
460,2MASX J00303200+1524577 is in the constellation Pisces.,What is in the constellation Pisces?,,,CelestialBody,A galaxy is in a constellation.,What galaxy is in a constellation?,What is the relation between a galaxy and a constellation?,What constellation is a galaxy in?,Celestial
461,2MASX J00303200+1524577 is in the constellation Pisces.,What is in the constellation Pisces?,,,CelestialBody,A galaxy is part of a contellation,What is part of a constellation?,What is the relation between a galaxy and a constellation?,What is a galaxy part of?,Celestial
462,MGC 14368 is in the epoch J2000.0.,What is the epoch J2000.0?,What is the epoch in which MGC 14368 is located?,What epoch is MGC 14368 in?,CelestialBody,A star is in the epoch x.,What star is in the epoch x?,What is the relation between a star and x?,What epoch is a star in?,Celestial
463,MGC 14368 is in the epoch J2000.0.,What is the epoch J2000.0?,What is the epoch in which MGC 14368 is located?,What epoch is MGC 14368 in?,CelestialBody,A star is in an epoch.,What is in an epoch?,What is the realtion between a star and an epoch=,What is a star in?,Celestial
464,NVSS J152045-041748 has a declination of -4.297778 degree.,What has a declination of -4.297778 degree?,What degree does NVSS J152045-041748 have?,What is the declination of NVSS J152045-041748?,CelestialBody,-,-,-,-,Celestial
465,NVSS J152045-041748 has a declination of -4.297778 degree.,What has a declination of -4.297778 degree?,What degree does NVSS J152045-041748 have?,What is the declination of NVSS J152045-041748?,CelestialBody,"Can't answer, miss description","Can't answer, miss description",can't answer miss description,What has a declination of degrees?,Celestial
466,SDSSCGB 35877 has a 17.90750 degree ascension.,What has a 17.90750 degree ascension?,What degree ascension does SDSSCGB 35877 have?,What is the ascension degree of SDSSCGB 35877?,CelestialBody,-,-,-,-,Celestial
467,SDSSCGB 35877 has a 17.90750 degree ascension.,What has a 17.90750 degree ascension?,What degree ascension does SDSSCGB 35877 have?,What is the ascension degree of SDSSCGB 35877?,CelestialBody,"Cannot answer, miss description","Cannot answer, miss description","Cannot answer, miss description",What has right ascension of dregrees?,Celestial
468,TYC 6771-315-1 has a proper motion of 0.803 milliarcsecond per year.,What type of vehicle has a proper motion of 0.803 milliarcsecond per year?,What does the TYC 6771-315-1 have?,What is the proper motion of TYC 6771-315-1?,CelestialBody,A star has a proper motion of x.,What star has a proper motion of x?,What is the relation between a star and x?,What is the proper motion of a star?,Celestial
469,TYC 6771-315-1 has a proper motion of 0.803 milliarcsecond per year.,What type of vehicle has a proper motion of 0.803 milliarcsecond per year?,What does the TYC 6771-315-1 have?,What is the proper motion of TYC 6771-315-1?,CelestialBody,A star has proper motion of milliarcsecond per year,What has proper motion of milliarcsecond per year?,What is the relation between a star and milliarcsecond per year?,What is the proper motion of a star?,Celestial
470,The catalog code for DEEP2-GRS 32028808 is DEEP2-GRS 32028808.,What is the catalog code for DEEP2-GRS 32028808?,What is the DEEP2-GRS 32028808?,What is the catalog code for DEEP2-GRS 32028808?,CelestialBody,The catalog code for a galaxy is x.,What galaxy has a catalog code of x?,What is the relation between a galaxy and x?,What is the catalog code of a galaxy?,Celestial
471,The catalog code for DEEP2-GRS 32028808 is DEEP2-GRS 32028808.,What is the catalog code for DEEP2-GRS 32028808?,What is the DEEP2-GRS 32028808?,What is the catalog code for DEEP2-GRS 32028808?,CelestialBody,A galaxy has catalog code a catalog code.,What has catalog code a catalog code?,What is the relation between a galaxy and a catalog code?,What catalog code does a galaxy have?,Celestial
472,TYC 8942-3184-1 has an apparent magnitude of 12.46.,What has an apparent magnitude of 12.46?,What is the apparent magnitude of the TYC 8942-3184-1?,What is the apparent magnitude of TYC 8942-3184-1?,CelestialBody,-,-,-,-,Celestial
473,TYC 8942-3184-1 has an apparent magnitude of 12.46.,What has an apparent magnitude of 12.46?,What is the apparent magnitude of the TYC 8942-3184-1?,What is the apparent magnitude of TYC 8942-3184-1?,CelestialBody,"Cannot answer, miss description","Cannot answer, miss description","Cannot answer, miss description","Cannot answer, miss description",Celestial
474,Moelwyn Mawr is designated as a Site of Special Scientific Interest.,What is designated as a Site of Special Scientific Interest?,What is the status of Moelwyn Mawr?,What is Moelwyn Mawr designated as?,Mountain,A mountain is designated as a protected area.,What mountain is designated as a protected area.,What is the relation between a mountain and a designated area?,What is a mountain designated as?,Mountain
475,Moelwyn Mawr is designated as a Site of Special Scientific Interest.,What is designated as a Site of Special Scientific Interest?,What is the status of Moelwyn Mawr?,What is Moelwyn Mawr designated as?,Mountain,The mountain (770m) in Gwynedd  is designated as a conservation designation denoting a protected area in the United Kingdom,What is designated as a conservation designation denoting a protected area in the United Kingdom,What is the relation between The mountain (770m) in Gwynedd and a conservation designation denoting a protected area in the United Kingdom,As what is the Mountain in Gwynedd dasignated?,Mountain
476,Mehetia has a length of 1.7 km.,What is the name of the rocky area that has a length of 1.7 km?,What is the length of Mehetia?,How long is Mehetia?,Mountain,An island has a length of x.,What island has a length of x?,What is the relation between a island and its length?,What length does an island have?,Mountain
477,Mehetia has a length of 1.7 km.,What is the name of the rocky area that has a length of 1.7 km?,What is the length of Mehetia?,How long is Mehetia?,Mountain,The island in French Polynesia has a length of 1.7km,Which one  has a length of 1.7km,What is the relation between The island in French Polynesia and a length of 1.7km,What length does the island in French polynesia has?,Mountain
478,The first ascent of Hintere Gubachspitze was a significant event.,What was the name of the first ascent?,What was the first ascent of Hintere Gubachspitze?,What was a significant event on the Hintere Gubachspitze?,Mountain,A route of a mountain was a significant event.,What mountain has a route as a significant event?,What is the relation between a mountain and a route?,What route is a significant event of a mountain?,Mountain
